cents,f0,rep,q0_mode,q0_nuniq,q1_mode,q1_nuniq,q2_mode,q2_nuniq,q3_mode,q3_nuniq
268.0,256.83411682653383,1,84,13,486,9,383,24,337,24
268.0,256.83411682653383,2,546,9,401,9,383,18,175,24
270.0,257.130994683474,0,757,11,486,5,244,12,337,13
270.0,257.130994683474,1,200,10,486,9,258,13,330,12
270.0,257.130994683474,2,84,12,401,11,383,15,480,14
272.0,257.4282157053451,0,757,13,486,8,383,23,923,27
272.0,257.4282157053451,1,84,12,401,11,383,15,923,25
272.0,257.4282157053451,2,757,12,486,5,344,22,923,24
274.0,257.72578028881577,0,877,13,486,6,886,26,755,29
274.0,257.72578028881577,1,757,14,486,8,344,24,337,25
274.0,257.72578028881577,2,757,13,486,10,976,25,234,28
276.0,258.0236888310133,0,757,12,486,10,688,23,682,24
276.0,258.0236888310133,1,546,16,486,7,383,28,330,26
276.0,258.0236888310133,2,757,13,486,9,976,20,480,24
278.0,258.3219417295241,0,546,9,401,6,976,9,923,15
278.0,258.3219417295241,1,546,15,401,11,383,13,923,14
278.0,258.3219417295241,2,546,12,486,7,576,15,923,13
280.0,258.62053938239393,0,406,12,486,8,180,25,755,25
280.0,258.62053938239393,1,757,14,486,11,313,26,284,26
280.0,258.62053938239393,2,406,11,486,10,886,22,234,25
282.0,258.9194821881288,0,757,13,486,8,344,27,337,27
282.0,258.9194821881288,1,546,13,486,11,383,22,923,26
282.0,258.9194821881288,2,757,14,486,9,344,25,549,25
284.0,259.21877054569546,0,757,13,486,8,344,21,549,22
284.0,259.21877054569546,1,757,13,486,7,908,22,684,29
284.0,259.21877054569546,2,757,11,486,7,344,23,438,21
286.0,259.5184048545216,0,757,16,486,8,64,25,923,26
286.0,259.5184048545216,1,757,15,486,10,664,19,923,25
286.0,259.5184048545216,2,757,18,486,11,576,19,923,26
288.0,259.81838551449664,0,757,16,486,7,474,18,923,27
288.0,259.81838551449664,1,406,10,486,8,344,25,503,26
288.0,259.81838551449664,2,546,13,486,9,383,26,438,24
290.0,260.1187129259726,0,757,14,486,10,642,26,286,26
290.0,260.1187129259726,1,757,14,486,6,519,23,286,29
290.0,260.1187129259726,2,546,15,486,10,383,22,684,26
292.0,260.4193874897638,0,757,11,486,8,664,21,523,28
292.0,260.4193874897638,1,757,12,486,7,886,24,523,29
292.0,260.4193874897638,2,757,15,486,7,886,21,923,26
294.0,260.7204096071481,0,877,11,486,7,313,21,286,23
294.0,260.7204096071481,1,757,11,486,6,344,22,286,22
294.0,260.7204096071481,2,406,11,486,6,344,26,286,23
296.0,261.02177967986717,0,757,14,486,8,344,23,622,26
296.0,261.02177967986717,1,200,12,486,5,244,21,549,23
296.0,261.02177967986717,2,877,11,486,8,383,22,549,24
298.0,261.323498110127,0,546,13,486,7,576,21,923,28
298.0,261.323498110127,1,546,14,486,9,180,19,923,27
298.0,261.323498110127,2,546,14,486,8,908,24,330,24
300.0,261.6255653005986,0,877,16,486,11,474,26,337,28
300.0,261.6255653005986,1,462,15,486,8,576,21,622,23
300.0,261.6255653005986,2,995,11,486,7,642,13,923,24
302.0,261.92798165441843,0,200,11,486,7,441,20,257,27
302.0,261.92798165441843,1,877,8,486,5,688,15,480,21
302.0,261.92798165441843,2,406,11,486,10,137,22,523,28
