lang,group,file,char_level,wer_original,wer_coded,delta,relative
fr_fr,control,10097171356371990207.wav,0,0.015873015873015872,0.0,-0.015873015873015872,-1.0
fr_fr,control,10138021779681596478.wav,0,0.07692307692307693,0.15384615384615385,0.07692307692307693,1.0
fr_fr,control,10143749263702132703.wav,0,0.2692307692307692,0.5,0.23076923076923078,0.8571428571428572
fr_fr,control,10166091086920486572.wav,0,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.5
fr_fr,control,10174413140250646001.wav,0,0.16666666666666666,0.16666666666666666,0.0,0.0
fr_fr,control,10221277978969763776.wav,0,0.03571428571428571,0.03571428571428571,0.0,0.0
fr_fr,control,10334413597118469552.wav,0,0.28,0.28,0.0,0.0
fr_fr,control,10385751433252343757.wav,0,0.0,0.0,0.0,nan
fr_fr,control,10399459061919571703.wav,0,0.041666666666666664,0.6041666666666666,0.5625,13.5
fr_fr,control,10451502537136425109.wav,0,0.030303030303030304,0.18181818181818182,0.15151515151515152,5.0
fr_fr,control,10473501692975174389.wav,0,0.05714285714285714,0.05714285714285714,0.0,0.0
fr_fr,control,10481242713503018126.wav,0,0.058823529411764705,0.058823529411764705,0.0,0.0
fr_fr,control,10496509281839367149.wav,0,0.14285714285714285,0.2,0.05714285714285716,0.40000000000000013
fr_fr,control,10550408276028637262.wav,0,0.045454545454545456,0.09090909090909091,0.045454545454545456,1.0
fr_fr,control,10551999992203614767.wav,0,0.038461538461538464,0.038461538461538464,0.0,0.0
fr_fr,control,1057422269812878594.wav,0,0.028169014084507043,0.07042253521126761,0.04225352112676056,1.5
fr_fr,control,10583265778505453148.wav,0,0.041666666666666664,0.5416666666666666,0.49999999999999994,12.0
fr_fr,control,10603531439273760949.wav,0,0.03225806451612903,0.06451612903225806,0.03225806451612903,1.0
fr_fr,control,1063626966878784571.wav,0,0.0,0.0,0.0,nan
fr_fr,control,10677508033193966655.wav,0,0.0,0.14814814814814814,0.14814814814814814,nan
fr_fr,control,10703796668246155041.wav,0,0.0,0.3125,0.3125,nan
fr_fr,control,10709985934106699878.wav,0,0.09090909090909091,0.045454545454545456,-0.045454545454545456,-0.5
fr_fr,control,10777874021057022864.wav,0,0.0,0.0,0.0,nan
fr_fr,control,10876086819338968684.wav,0,0.07142857142857142,1.0,0.9285714285714286,13.000000000000002
